"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",2.2,2.96031746031746,2,3,7,0.366775717396992
"pl2",2.6,2.47291597291597,2,3,7,0.273078259501108
"pl3",2,2.57647907647908,2,1,6,0.3252211119711
"pl4",2.6,2.16117216117216,2,3,6,0.136766232446222
"pl5",2.2,2.27950937950938,2,1,5,0.279731478880295
"pl6",2.8,1.07132867132867,2,0,3,0.0658449260289048
"pl7",3.6,0.915032679738562,1,0,3,0.0629113995618206
"pl8",4.6,0.649350649350649,1,0,3,0.0204785717833648
"pl9",2.8,0.904761904761905,2,0,2,0.0986183737242836
"pl10",3.6,0.679738562091503,1,0,2,0.0582364979528453
"pl11",3.2,0.777777777777778,2,0,2,0.0671551647061136
"pl12",3.2,0.75,1,0,2,0.108070328941141
"pl13",3.6,0.679738562091503,1,0,2,0.0582364979528453
"pl14",4.6,0.285714285714286,1,0,1,0.0204785717833648
"pl15",3,0.571428571428571,1,0,1,0.0842083911329557
"pl16",4.2,0.363636363636364,1,0,1,0.0182415775876054
"pl17",4.6,0.285714285714286,1,0,1,0.0204785717833648
"pl18",Inf,0,1,0,1,0
"pl19",3.2,0.5,1,0,1,0.101454384151817
"pl20",Inf,0,1,0,1,0
"pl21",3,0.571428571428571,1,0,1,0.0842083911329556
"pl22",4.6,0.285714285714286,1,0,1,0.0204785717833648
"pl23",Inf,0,1,0,1,0
"pl24",3.2,0.5,1,0,1,0.101454384151817
"pl25",3.2,0.5,1,0,1,0.101454384151817
"pl26",Inf,0,1,0,1,0
"pl27",5.6,0.235294117647059,1,0,1,0.00438870935580517
"pl28",5.6,0.235294117647059,1,0,1,0.00438870935580516
"pl29",4.6,0.307692307692308,1,0,1,0.00891866675326824
"disp1",2,3.04370629370629,2,4,8,0.410041788818948
"disp2",1.75,2.81751581751582,2,2,7,0.34033974600894
"disp3",2.25,2.05492424242424,2,3,6,0.220961646264085
"disp4",3.5,1.03678929765886,1,0,4,0.0827669526231879
"disp5",4.25,0.634920634920635,1,0,3,0.0177375699424477
"disp6",2.25,1.33916083916084,2,0,3,0.238783220323714
"disp7",2.5,0.811688311688312,2,0,2,0.0855040688375848
"disp8",2.75,0.884615384615385,2,0,2,0.148033922215508
"disp9",2.75,0.857142857142857,2,0,2,0.096759318513021
"disp10",3.25,0.602006688963211,1,0,2,0.0360460131906946
"disp11",3,0.741758241758242,2,0,2,0.058239918244994
"disp12",2.75,0.692640692640693,1,0,2,0.0737258342006053
"disp13",3.5,0.602006688963211,1,0,2,0.0726331518972944
"disp14",3.25,0.741758241758242,2,0,2,0.0838578993662083
"disp15",3,0.697115384615385,2,0,2,0.0504551495179514
"disp16",5.5,0.217391304347826,1,0,1,0.0050669003629467
"disp17",3,0.5,1,0,1,0.0804676706811603
"disp18",Inf,0,1,0,1,0
"disp19",Inf,0,1,0,1,0
"disp20",5.5,0.217391304347826,1,0,1,0.00506690036294669
"disp21",Inf,0,1,0,1,0
"disp22",3.25,0.384615384615385,1,0,1,0.0338393165378624
"disp23",4.25,0.277777777777778,1,0,1,0.0144091363272568
"disp24",4.25,0.277777777777778,1,0,1,0.0144091363272568
"disp25",3.5,0.384615384615385,1,0,1,0.0675662515343477
"disp26",3,0.454545454545455,1,0,1,0.0907492981082058
"disp27",4,0.3125,1,0,1,0.0267392469908694
"disp28",4.25,0.277777777777778,1,0,1,0.015565821515552
"disp29",3.25,0.384615384615385,1,0,1,0.0338393165378624
"disp30",Inf,0,1,0,1,0
"disp31",3,0.454545454545455,1,0,1,0.0907492981082058
"disp32",3,0.454545454545455,1,0,1,0.0907492981082058
