"Species","kradius","kdegree","kcorenum","krisk","degree","eigenc"
"pl1",1,6.32708316795004,3,8,12,0.397600309910117
"pl2",1.85714285714286,4.08999497234791,3,3,7,0.254457219491405
"pl3",1,5.50355375618533,3,6,10,0.347090368457862
"pl4",1.85714285714286,4.91259823767564,3,10,10,0.261442787435466
"pl5",1.85714285714286,3.19467068878834,3,1,5,0.20332919877952
"pl6",2.14285714285714,2.31623931623932,3,0,3,0.153294975380016
"pl7",2.14285714285714,2.31623931623932,3,0,3,0.153294975380016
"disp1",2.42857142857143,1.53846153846154,2,0,2,0.121173329495729
"disp2",1.85714285714286,3.07692307692308,3,0,4,0.223459045976861
"disp3",1,4.54871794871795,3,0,7,0.329017857962207
"disp4",1.85714285714286,3.00512820512821,3,0,4,0.215459216703149
"disp5",1.28571428571429,4.01025641025641,3,0,6,0.280433351844662
"disp6",2.71428571428571,0.538461538461538,1,0,1,0.0485845061175449
"disp7",2.71428571428571,0.538461538461538,1,0,1,0.0485845061175449
"disp8",2.14285714285714,2.53846153846154,3,0,3,0.176172683792992
"disp9",1.85714285714286,3.07692307692308,3,0,4,0.234258425953118
"disp10",2.71428571428571,0.538461538461538,1,0,1,0.0485845061175449
"disp11",1.85714285714286,3.00512820512821,3,0,4,0.215459216703149
"disp12",2.71428571428571,1,1,0,1,0.0645005903398441
"disp13",2.42857142857143,1.07692307692308,2,0,2,0.0958708683014137
"disp14",2.71428571428571,0.538461538461538,1,0,1,0.0485845061175449
"disp15",2.71428571428571,1,1,0,1,0.0645005903398441
"disp16",2.71428571428571,1,1,0,1,0.07388696731186
"disp17",2.42857142857143,1.53846153846154,2,0,2,0.122471473429405
"disp18",2.42857142857143,1.07692307692308,2,0,2,0.085071488325157
"disp19",2.71428571428571,1,1,0,1,0.0645005903398441
"disp20",2.71428571428571,1,1,0,1,0.0738869673118599
"disp21",2.71428571428571,1,1,0,1,0.07388696731186
